precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞIMON GAVRILĂ-PARTIDUL NAȚIONAL LIBERAL-voturi","PAŞCU GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","POP IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
26,MARAMUREŞ,PRIMĂRIE,442,"VIŞEU DE JOS",109504,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:53:06",1390,1364,4,6,16,741,717,2,6,16,717,24,1500,759,462,241,14
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ CU CLASELE I-VIII",444,"VIŞEU DE JOS",109504,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:49:09",1276,1256,0,9,11,672,652,0,9,11,646,26,1431,759,344,279,23
26,MARAMUREŞ,"ȘCOALA PRIMARĂ",443,"VIŞEU DE JOS",109504,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:06:07",1489,1462,2,5,20,854,828,1,5,20,826,28,1600,746,501,314,11
