precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHEBAC NIŢĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","PETICĂ MARIUS-ADI-PARTIDUL NAȚIONAL LIBERAL-voturi","POPA PAUL-ALIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
18,GALAŢI,"GRĂDINIȚA CU PROGRAM NORMAL CĂLMĂȚUI",321,GRIVIŢA,76558,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:12:26",545,530,0,8,7,268,253,0,8,7,238,29,600,330,115,115,8
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DUMITRU CĂPRARU” GRIVIȚA",319,GRIVIŢA,76558,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:05:03",1583,1543,0,9,31,808,768,0,9,31,776,32,1698,889,402,349,25
18,GALAŢI,"ȘCOALA GIMNAZIALĂ ”DUMITRU CĂPRARU” GRIVIȚA, CORP C2,",320,GRIVIŢA,76558,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:33:18",951,932,0,5,14,494,475,0,5,14,472,22,1055,539,263,189,20
