precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRISTEA GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","URSU MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","NEAŢU FLORINEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PITIŞ DĂNUŢ-UNIUNEA SALVAȚI ROMÂNIA-voturi","TONCA VASILE-PARTIDUL MIȘCAREA POPULARĂ-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ TRAIAN, STRADA PRINCIPALĂ NR. 188",307,TRAIAN,154736,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:37",759,736,0,4,19,366,343,0,4,19,347,19,810,444,241,22,75,4,5
36,TELEORMAN,"SPAŢII BIROURI, STRADA PRINCIPALĂ NR. 116",306,TRAIAN,154736,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:06:52",634,602,1,12,19,352,322,1,12,17,337,15,651,299,220,26,65,12,14
