precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DIMIEAN FLORIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALECU EVLAMPIE-PARTIDUL NAȚIONAL LIBERAL-voturi","IORDACHE FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PALLIU MARIA-PARTIDUL SATULUI ROMÂNESC-voturi","NICOLAE COSTEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"CĂMIN CULTURAL BRĂDETU",251,BRĂDULEŢ,14753,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:40:05",286,274,3,5,4,198,187,2,5,4,192,6,300,102,5,86,66,21,14
3,ARGEŞ,"CĂMIN CULTURAL BRĂDULEŢ",250,BRĂDULEŢ,14753,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:16:47",435,424,1,7,3,291,281,0,7,3,284,7,474,183,9,74,115,32,54
3,ARGEŞ,"CĂMINUL CULTURAL GALEŞU",252,BRĂDULEŢ,14753,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:27:09",662,647,0,8,7,480,465,0,8,7,476,4,720,240,33,182,210,29,22
