precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOKOR TIBERIU-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","LUKÁCS LÁSZLÓ-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","IMRE CSABA-voturi"
15,COVASNA,"CĂMINUL CULTURAL LUNGA",65,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:29:28",978,957,1,6,14,422,402,0,6,14,408,14,1100,678,310,31,67
15,COVASNA,"CĂMINUL CULTURAL TINOASA",64,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:37:04",352,346,0,6,0,155,149,0,6,0,153,2,400,245,116,6,31
15,COVASNA,"CASA MUNICIPALĂ DE CULTURĂ ”VIGADÓ” TÂRGU SECUIESC",51,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:54:23",1294,1285,0,7,2,543,534,0,7,2,525,18,1385,842,387,28,110
15,COVASNA,"COLEGIUL NAȚIONAL ”NAGY MÓZES” TÂRGU SECUIESC",52,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:24:11",1100,1090,0,5,5,515,505,0,5,5,480,35,1200,685,342,27,111
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL ”BENEDEK ELEK” TÂRGU SECUIESC",55,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:44:01",1243,1229,2,7,5,462,450,0,7,5,449,13,1400,938,281,32,136
15,COVASNA,"GRĂDINIŢA CU PROGRAM NORMAL NR. 3 TÂRGU SECUIESC",60,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:43:06",903,890,1,10,2,404,392,0,10,2,392,12,1000,596,268,17,107
15,COVASNA,"GRĂDINIȚA CU PROGRAM PRELUNGIT ” CSIPKERÓZSIKA”",57,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:41:55",1325,1316,0,8,1,518,509,0,8,1,510,1,1500,989,338,39,133
15,COVASNA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”MANÓCSKA” TÂRGU SECUIESC",59,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:49:50",1238,1228,0,10,0,499,489,0,10,0,492,7,1400,901,331,28,133
15,COVASNA,"LICEUL PEDAGOGIC ”BOD PÉTER” TÂRGU SECUIESC",53,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:49:02",1172,1155,2,4,11,508,493,0,4,11,498,10,1300,792,347,21,130
15,COVASNA,"LICEUL TEHNOLOGIC ”GÁBOR ÁRON” TÂRGU SECUIESC",61,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:28",1073,1052,3,8,10,434,416,0,8,10,416,6,1200,768,276,27,113
15,COVASNA,"” LICEUL TEOLOGIC REFORMAT DR.CSIHA KÁLMÁN ” TÂRGU SECUIESC",54,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:49:44",1162,1138,9,8,7,505,490,0,8,7,490,15,1300,795,355,20,115
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”MOLNÁR JOZSIÁS” TÂRGU SECUIESC",62,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:03:14",1121,1109,4,6,2,556,548,0,6,2,540,16,1200,635,405,25,110
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”PETŐFI SÁNDOR” TÂRGU SECUIESC",56,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:43",1218,1208,4,6,0,533,527,0,6,0,507,26,1300,767,346,25,136
15,COVASNA,"ŞCOALA GIMNAZIALĂ ”TUROCZI MÓZES” TÂRGU SECUIESC",58,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:17:53",1238,1231,0,7,0,457,450,0,7,0,441,16,1300,843,284,32,125
15,COVASNA,"ŞCOALA PRIMARĂ RUSENI, TÂRGU SECUIESC",63,"MUNICIPIUL TÂRGU SECUIESC",63740,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:54:56",609,602,1,5,1,353,347,0,5,1,345,8,600,247,251,16,78
