precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIŞ LEONTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ZAHA PATRIŢIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","OROS DORIN-IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MOŞINCAT-NERŢAN DIANA-MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
33,SĂLAJ,"SALA DE SPORT CHIEȘD",106,CHIEŞD,140501,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:38",1560,1553,0,7,0,848,841,0,7,0,823,25,1630,782,420,91,60,252
33,SĂLAJ,"ȘCOALA PRIMARĂ SIGHETU SILVANIEI",107,CHIEŞD,140501,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:02:55",401,387,1,13,0,229,216,0,13,0,224,5,473,244,81,62,6,75
