precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞĂRPĂU DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi"
30,OLT,"CAMINUL CULTURAL SPINENI",309,SPINENI,128962,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:21",475,387,0,46,42,312,224,0,46,42,307,5,553,241,307
30,OLT,"SC GENERALA ALUNISU",310,SPINENI,128962,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:28:33",318,270,0,40,8,218,170,0,40,8,215,3,377,159,215
30,OLT,"ȘCOALA GENERALĂ PROFA",311,SPINENI,128962,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:56",392,330,0,51,11,274,212,0,51,11,267,7,392,118,267
