precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂNACU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PĂUNEI BOGDAN-ILIE-PARTIDUL NAȚIONAL LIBERAL-voturi","CIOBANU VALERIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
40,VÂLCEA,"CĂMINUL CULTURAL BĂRBĂTEŞTI",166,BĂRBĂTEŞTI,168559,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:26:43",1161,1152,0,9,0,696,687,0,9,0,660,36,1270,574,323,329,8
40,VÂLCEA,"FOSTA ŞCOALĂ CU CLASELE I-IV BODEŞTI",164,BĂRBĂTEŞTI,168559,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:29",726,723,0,3,0,429,426,0,3,0,401,28,800,371,169,219,13
40,VÂLCEA,"SCOALA GIMNAZIALĂ BODEȘTI",165,BĂRBĂTEŞTI,168559,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:16:37",702,694,1,7,0,382,375,0,7,0,366,16,753,371,170,180,16
