precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL PRO ROMÂNIA-voturi"
20,GORJ,"ȘCOALA GIMNAZIALĂ CAPU-DEALULUI",169,BRĂNEŞTI,79237,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:47:18",620,589,0,9,22,453,422,0,9,22,444,6,700,250,235,56,126,25,2
20,GORJ,"ȘCOALA PRIMARĂ BĂDEȘTI",168,BRĂNEŞTI,79237,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 02:53:35",192,179,0,4,9,124,111,0,4,9,119,5,200,76,42,15,45,17,0
20,GORJ,"ȘCOALA PRIMARĂ BRĂNEȘTI",167,BRĂNEŞTI,79237,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:48:30",571,546,0,15,10,394,369,0,15,10,386,8,600,206,159,31,164,32,0
20,GORJ,"ȘCOALA PRIMARĂ GILORTU",170,BRĂNEŞTI,79237,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:35:43",498,478,0,4,16,328,308,0,4,16,311,17,507,179,123,17,114,57,0
