precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SMĂDU ION-DORU-PARTIDUL NAȚIONAL LIBERAL-voturi","SAMOILĂ ION-PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"CAMINUL CULTURAL ”PETRE IONESCU MUSCEL”",339,DOMNEŞTI,16454,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:37:30",1272,1214,0,24,34,924,866,0,24,34,908,16,1321,381,594,314
3,ARGEŞ,"CAMINUL CULTURAL ”PETRE IONESCU MUSCEL” -",340,DOMNEŞTI,16454,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:52:26",1353,1312,0,30,11,1002,961,0,30,11,988,14,1452,414,617,371
