precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIRA IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BOTEZAT MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ARSINTE DORIN-OVIDIU-ILIE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DRĂGAN DOREL-VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL GLEDIN",195,MONOR,33952,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:31",391,363,0,9,19,294,266,0,9,19,290,4,400,106,118,17,154,1
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MONOR",194,MONOR,33952,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:42",685,649,0,11,25,492,456,0,11,25,474,18,700,208,195,114,156,9
