precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
17,DOLJ,"LICEUL TEHNOLOGIC ”ING. IONETE AURELIAN”",395,"MALU MARE",73068,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:56:41",1085,1027,0,51,7,670,612,0,51,7,609,61,820,150,97,33,336,100,26,9,4,4
17,DOLJ,"ȘCOALA GIMNAZIALĂ MALU MARE",396,"MALU MARE",73068,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:39:03",1545,1473,2,64,6,931,860,1,64,6,889,39,1600,672,126,54,410,231,63,1,0,4
17,DOLJ,"ŞCOALA GIMNAZIALĂ MALU MARE-GRĂDINIȚA CU PROGRAM NORMAL PREAJBA",397,"MALU MARE",73068,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:15:31",1984,1920,3,58,3,1158,1097,0,58,3,1122,36,2200,1042,86,123,475,403,16,10,1,8
17,DOLJ,"ȘCOALA GIMNAZIALĂ MALU MARE-GRĂDINIȚA CU PROGRAM NORMAL PREAJBA",398,"MALU MARE",73068,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 18:57:31",2173,2073,1,98,1,1289,1190,0,98,1,1262,27,2200,911,91,135,210,784,14,17,7,4
