precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GLIGOR IOAN-PETRE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SEUCHEA IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CONŢIU GHEORGHE-NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","SCRIPCARU LACRIMA-ELENA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PÂŞU CLAUDIU-GHEORGHE-PARTIDUL ECOLOGIST ROMÂN-voturi"
34,SIBIU,"PRIMARIA COMUNEI CRISTIAN",266,CRISTIAN,143487,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:18:21",1319,1284,2,24,9,834,802,0,24,8,810,24,1600,766,29,118,45,40,578
34,SIBIU,"SCOALA GIMNAZIALA , CRISTIAN",268,CRISTIAN,143487,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:28:57",1279,1250,9,18,2,828,808,0,18,2,810,11,1367,521,58,176,233,149,194
34,SIBIU,"ȘCOALA GIMNAZIALĂ CRISTIAN-CORP IV, ȘCOALA ROMÂNEASCĂ",267,CRISTIAN,143487,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:24:38",1241,1218,8,13,2,747,732,0,13,2,735,12,1350,603,99,210,121,172,133
