county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","CHELEŞ NELU-DUMITRU-voturi","CHELEŞ NELU-DUMITRU-mandate-faza-1","CHELEŞ NELU-DUMITRU-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-1","PARTIDUL MIȘCAREA POPULARĂ-mandate-faza-2","PARTIDUL MIȘCAREA POPULARĂ-mandate-g9","PARTIDUL VERDE-voturi","PARTIDUL VERDE-mandate-faza-1","PARTIDUL VERDE-mandate-faza-2","PARTIDUL VERDE-mandate-g9","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","FORȚA DREPTEI-voturi","FORȚA DREPTEI-mandate-faza-1","FORȚA DREPTEI-mandate-faza-2","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-1","PARTIDUL ECOLOGIST ROMÂN-mandate-faza-2","GRIGORE GELU-voturi","GRIGORE GELU-mandate-faza-1","GRIGORE GELU-mandate-faza-2","PETRE-MARDALE IONUŢ-voturi","PETRE-MARDALE IONUŢ-mandate-faza-1","PETRE-MARDALE IONUŢ-mandate-faza-2","IVAN VALENTIN-MĂDĂLIN-voturi","IVAN VALENTIN-MĂDĂLIN-mandate-faza-1","IVAN VALENTIN-MĂDĂLIN-mandate-faza-2","SARIVAN MARIAN-CIPRIAN-voturi","SARIVAN MARIAN-CIPRIAN-mandate-faza-1","SARIVAN MARIAN-CIPRIAN-mandate-faza-2","STRÎMBIANU SORINA-voturi","STRÎMBIANU SORINA-mandate-faza-1","STRÎMBIANU SORINA-mandate-faza-2","RĂILEANU VALENTIN-SORIN-voturi","RĂILEANU VALENTIN-SORIN-mandate-faza-1","RĂILEANU VALENTIN-SORIN-mandate-faza-2","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-1","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-mandate-faza-2","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-1","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-2","PARTIDUL SOCIALIST ROMÂN-voturi","PARTIDUL SOCIALIST ROMÂN-mandate-faza-1","PARTIDUL SOCIALIST ROMÂN-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-mandate-faza-1","PARTIDUL ROMÂNIA PUTERNICĂ-mandate-faza-2","GĂLBINAŞ SORIN-voturi","GĂLBINAŞ SORIN-mandate-faza-1","GĂLBINAŞ SORIN-mandate-faza-2","LUNGU DĂNUŢ-IONUŢ-voturi","LUNGU DĂNUŢ-IONUŢ-mandate-faza-1","LUNGU DĂNUŢ-IONUŢ-mandate-faza-2","BRESCANU PETRICĂ-voturi","BRESCANU PETRICĂ-mandate-faza-1","BRESCANU PETRICĂ-mandate-faza-2","PÎRLEA SILVIU-voturi","PÎRLEA SILVIU-mandate-faza-1","PÎRLEA SILVIU-mandate-faza-2","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL ROMÂNIA MARE-mandate-faza-1","PARTIDUL ROMÂNIA MARE-mandate-faza-2","LINTAS NICOLAE-voturi","LINTAS NICOLAE-mandate-faza-1","LINTAS NICOLAE-mandate-faza-2","MATEESCU IOANA-voturi","MATEESCU IOANA-mandate-faza-1","MATEESCU IOANA-mandate-faza-2","MĂCRINEANU DAVID-voturi","MĂCRINEANU DAVID-mandate-faza-1","MĂCRINEANU DAVID-mandate-faza-2"
9,BRĂILA,BĂRĂGANUL,42824,1,FINAL,UAT,CL,CL_CE,"2024-06-10 16:20:48",2451,2368,0,18,65,1498,1415,0,18,65,1449,49,2788,1290,72,101,115,131,420,3,0,810,6,0,86,0,1,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,"BERTEŞTII DE JOS",42842,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:32:42",2364,2348,0,16,0,1295,1279,0,16,0,1203,92,2572,1277,60,84,96,104,655,6,0,385,3,1,108,1,0,0,0,0,42,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,"BORDEI VERDE",42913,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:33:03",2020,1989,0,25,6,1293,1262,0,25,6,1263,30,2184,891,63,88,101,114,370,3,0,824,7,0,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,CAZASU,44560,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:19:55",3407,3354,5,35,13,1934,1886,0,35,13,1881,53,3668,1734,94,131,150,126,540,4,0,873,6,1,229,1,1,0,0,0,0,0,0,0,0,0,0,0,81,0,0,64,0,0,77,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,CHISCANI,42708,1,FINAL,UAT,CL,CL_CE,"2024-06-10 15:09:32",5441,5403,7,28,3,2593,2561,1,28,3,2489,99,5930,3339,124,174,199,156,669,4,0,933,5,1,412,2,1,0,0,0,0,0,0,0,0,0,0,0,144,0,1,0,0,0,183,1,0,34,0,0,43,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,CIOCILE,42968,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:20:20",1836,1812,0,8,16,1203,1179,0,8,16,1115,88,1974,771,55,78,89,93,460,4,2,351,3,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,10,0,0,0,0,0,68,0,0,89,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,CIREŞU,43019,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:18:34",2203,2100,0,12,91,1408,1305,0,12,91,1380,28,2376,968,69,96,110,121,1335,11,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,DUDEŞTI,43073,1,FINAL,UAT,CL,CL_CE,"2024-06-10 17:27:02",2818,2754,0,18,46,1782,1718,0,18,46,1674,108,3043,1261,83,117,133,123,824,6,1,520,4,0,264,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,FRECĂŢEI,43117,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:48:29",1084,1055,2,12,15,776,749,0,12,15,745,31,1312,536,37,52,59,82,516,6,0,176,2,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BRĂILA,GALBENU,43180,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:47:38",2444,2302,0,68,74,1613,1471,0,68,74,1551,62,2573,960,77,108,124,138,891,6,0,228,1,1,311,2,0,0,0,0,94,0,1,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
