precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
30,OLT,"CĂMINUL CULTURAL SLĂVENI",214,GOSTAVĂŢU,127144,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:21:39",1056,1023,2,23,8,722,691,0,23,8,691,29,1136,416,34,210,423,24
30,OLT,"ŞCOALA GENERALĂ GOSTAVĂŢU",213,GOSTAVĂŢU,127144,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:12:52",1276,1218,0,47,11,880,822,0,47,11,775,42,1345,528,48,336,303,88
