precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LAZĂR PAUL-IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","DECEBAL NELU-RIŢĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FILIP LAURENŢIU-IRINEL-PARTIDUL SOCIAL DEMOCRAT-voturi","FECIORU VALENTIN-PARTIDUL S.O.S. ROMÂNIA-voturi","VOLOCARU ALECSANDRU-voturi"
39,VASLUI,"SALA DE EDUCAŢIE FIZICĂ ŞCOLARĂ MUNTENII DE JOS",383,"MUNTENII DE JOS",164936,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:47:41",2050,2043,0,3,4,978,971,0,3,4,945,33,2100,1122,676,44,193,1,31
39,VASLUI,"ŞCOALA PRIMARĂ SAT BĂCĂOANI",384,"MUNTENII DE JOS",164936,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:17:50",1157,1144,0,5,8,649,636,0,5,8,626,23,1200,551,447,10,153,7,9
39,VASLUI,"ŞCOALA PRIMARĂ SAT MÎNJEŞTI",385,"MUNTENII DE JOS",164936,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:27",635,621,0,7,7,371,357,0,7,7,355,16,903,532,288,10,54,1,2
