precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SCUMPU LUCIAN-GLIGOR-PARTIDUL NAȚIONAL LIBERAL-voturi","LIMBĂŞAN OCTAVIAN-ALIN-PARTIDUL SOCIAL DEMOCRAT-voturi","LICA GHEORGHE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
34,SIBIU,"PRIMARIA BAZNA",236,BAZNA,144152,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:44:46",1411,1382,2,8,19,608,580,1,8,19,591,17,1550,942,121,450,20
34,SIBIU,"SCOALA GIMNAZIALA BOIAN",237,BAZNA,144152,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:07:13",1158,1134,1,6,17,596,573,0,6,17,569,24,1270,650,407,139,23
34,SIBIU,"SCOALA PRIMARĂ VELȚ",238,BAZNA,144152,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:29:04",481,474,1,3,3,210,204,0,3,3,181,29,522,312,48,124,9
