precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
37,TIMIŞ,"CAMIN CULTURAL LUGOJEL",405,GAVOJDIA,157031,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:36:42",641,616,1,6,18,387,362,1,6,18,377,10,663,276,31,262,39,9,36
37,TIMIŞ,"CĂMINUL CULTURAL GĂVOJDIA",403,GAVOJDIA,157031,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:22:09",1115,1083,1,10,21,554,522,1,10,21,526,28,1200,646,40,344,44,82,16
37,TIMIŞ,"CĂMINUL CULTURAL JENA",404,GAVOJDIA,157031,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:03:49",432,408,0,7,17,269,245,0,7,17,245,5,500,250,11,160,15,5,54
37,TIMIŞ,"CĂMINUL CULTURAL SĂLBĂGEL",406,GAVOJDIA,157031,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:13",233,226,0,7,0,150,143,0,7,0,139,11,250,100,9,106,13,8,3
