precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
18,GALAŢI,"CENTRU COMUNITAR INTEGRAT DE SERVICII SOCIALE, MEDICALE SI CONEXE",280,CUDALBI,76157,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:58:03",1814,1761,0,16,37,933,880,0,16,37,878,55,1600,667,73,312,25,439,16,13
18,GALAŢI,"LICEUL TEHNOLOGIC NR.1",283,CUDALBI,76157,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:57:03",1598,1557,0,18,23,866,825,0,18,23,833,32,1722,857,50,283,29,437,25,9
18,GALAŢI,"ŞCOALA GIMNAZIALA PROF. EMIL PANAITESCU",282,CUDALBI,76157,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:26:26",1258,1221,0,22,15,632,595,0,22,15,612,20,1600,968,38,204,31,303,18,18
18,GALAŢI,"ŞCOALA GIMNAZIALA PROF. EMIL PANAITESCU",281,CUDALBI,76157,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:01:07",1494,1439,0,31,24,805,750,0,31,24,757,40,1600,803,63,279,42,336,35,2
