precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FILIMON BRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MĂRGAN GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi"
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL ȘOȘDEA",275,MĂURENI,53247,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:57:13",761,703,0,21,37,459,401,0,21,37,448,11,776,317,443,5
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ MĂURENI",274,MĂURENI,53247,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:48:05",1584,1542,5,3,34,817,779,1,3,34,796,21,1702,885,756,40
