precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIHAI VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","STROE DANIEL-BOGDAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TEODORESCU GEORGIANA-PARTIDUL SOCIAL DEMOCRAT-voturi","DĂNILĂ GHEORGHE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TOMA MIHAI-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
12,CĂLĂRAŞI,"SCOALA CU CLASELE I-IV",185,"NICOLAE BĂLCESCU",104341,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:08:49",232,200,0,15,17,172,140,0,15,17,161,11,252,80,29,9,123,0,0
12,CĂLĂRAŞI,"SCOALA CU CLASELE I-VIII",184,"NICOLAE BĂLCESCU",104341,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:55:28",1083,1029,0,18,36,792,738,0,18,36,773,19,1100,308,220,4,533,6,10
