precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TREANŢĂ MARIUS-FLORIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","RĂDULESCU DUMITRU-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"ŞCOALA CU CLASELE I-IV VALEA LUI ALB",381,VULTUREŞTI,130231,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:40:42",487,453,0,14,20,295,261,0,14,20,293,2,528,233,238,55
30,OLT,"ŞCOALA GIMNAZIALĂ, COMUNA VULTUREȘTI",379,VULTUREŞTI,130231,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:36:31",578,525,0,22,31,350,297,0,22,31,340,10,628,278,275,65
30,OLT,"ȘCOALA PRIMARĂ, SAT.DIENCI",380,VULTUREŞTI,130231,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:41:08",602,531,0,56,15,602,531,0,56,15,590,12,841,227,399,191
