precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"RUSU MARIN-PARTIDUL NAȚIONAL LIBERAL-voturi","RĂSMERIŢĂ ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","STOICA GICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ZAHARIA TEODOR-FORȚA DREPTEI-voturi"
18,GALAŢI,"ȘCOALA GIMNAZIALĂ NR. 1 NĂMOLOASA",358,NĂMOLOASA,76763,2,PART,PRCNCT,P,P_SV,"2024-06-10 10:38:14",854,785,0,9,60,490,421,0,9,60,484,6,962,472,6,465,8,5
18,GALAŢI,"ȘCOALA GIMNAZIALĂ NR.1 NĂMOLOASA (GRĂDINIȚA NR. 1)",357,NĂMOLOASA,76763,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:23:56",777,701,0,11,65,474,398,0,11,65,461,13,800,326,23,410,12,16
