precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BACIU MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ANDREI BOGDAN-CĂTĂLIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GANEA NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","MINŢOIU COSTICĂ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
9,BRĂILA,"ȘCOALA GIMNAZIALĂ DROGU",189,GALBENU,43180,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:16:35",695,642,0,33,20,461,408,0,33,20,435,26,700,239,11,43,374,7
9,BRĂILA,"ȘCOALA GIMNAZIALĂ PÂNTECANI",190,GALBENU,43180,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:59:09",148,134,0,10,4,104,90,0,10,4,101,3,173,69,6,15,80,0
9,BRĂILA,"ȘCOALA GIMNAZIALĂ SĂTUC",191,GALBENU,43180,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:00",558,538,0,6,14,360,340,0,6,14,348,12,600,240,128,72,144,4
9,BRĂILA,"ȘCOALA GIMNAZIALA ”TOMA TAMPEANU” GALBENU",188,GALBENU,43180,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:05",754,722,0,10,22,479,447,0,10,22,465,14,800,321,25,82,339,19
9,BRĂILA,"ȘCOALA GIMNAZIALĂ ZAMFIREȘTI",192,GALBENU,43180,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:00",289,266,0,9,14,209,186,0,9,14,207,2,300,91,23,10,172,2
