precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DAVID NICOLAE-TRAIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","IUSCO IOAN-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ",329,IEUD,108204,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:12:57",1574,1546,0,11,17,639,611,0,11,17,615,24,1700,1061,338,277
26,MARAMUREŞ,"ȘCOALA GIMNAZIALĂ",330,IEUD,108204,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:29:31",1631,1593,1,8,29,671,634,0,8,29,652,19,1772,1101,385,267
26,MARAMUREŞ,"ȘCOALA PLOPȘOR",331,IEUD,108204,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:39:05",377,364,0,8,5,167,154,0,8,5,161,6,400,233,107,54
