precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SZŐCS ANTAL-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
28,MUREŞ,"CĂMIN CULTURAL BOLINTINENI, SAT BOLINTINENI",479,PĂSĂRENI,118753,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:37:04",190,185,0,5,0,85,80,0,5,0,75,10,210,125,75
28,MUREŞ,"CĂMINUL CULTURAL GĂLĂȚENI",480,PĂSĂRENI,118753,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:20:00",533,528,1,4,0,308,303,1,4,0,280,28,580,272,280
28,MUREŞ,"ŞCOALA GIMNANZIALĂ ”KISS GERGELY” PĂSĂRENI",478,PĂSĂRENI,118753,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:13:30",687,670,2,7,8,450,434,1,7,8,407,43,756,306,407
