precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL PRO ROMÂNIA-voturi"
39,VASLUI,"CĂMINUL CULTURAL TĂCUTA",484,TĂCUTA,166235,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:26:27",660,657,0,0,3,372,369,0,0,3,356,16,616,244,53,149,80,66,8
39,VASLUI,"ŞCOALA GIMNAZIALĂ FOCŞEAŞCA",486,TĂCUTA,166235,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:18:34",639,629,0,8,2,383,373,0,8,2,354,27,700,319,10,105,204,33,2
39,VASLUI,"ŞCOALA GIMNAZIALĂ PROTOPOPEŞTI",488,TĂCUTA,166235,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:48:52",664,657,0,4,3,332,325,0,4,3,324,8,700,368,91,155,58,16,4
39,VASLUI,"ŞCOALA PRIMARĂ DUMASCA",485,TĂCUTA,166235,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:00:01",228,224,0,4,0,115,111,0,4,0,113,2,300,185,14,40,40,16,3
39,VASLUI,"ŞCOALA PRIMARĂ MIRCEŞTI",487,TĂCUTA,166235,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:25:15",226,222,0,4,0,139,135,0,4,0,133,6,300,161,13,51,47,20,2
