precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SAUCĂ ROBERT-CRISTIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","AZAMFIREI ALEXANDRU-PARTIDUL SOCIAL DEMOCRAT-voturi","VĂCĂREANU GEORGEL-PARTIDUL NAȚIONAL LIBERAL-voturi","VREME GHEORGHE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
7,BOTOŞANI,"CĂMIN CULTURAL MILEANCA",318,MILEANCA,38321,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:19:23",1286,1233,0,17,36,729,677,0,17,35,704,25,1300,571,8,366,259,71
7,BOTOŞANI,"SCOALA CU CLASELE I-IV SCUTARI",320,MILEANCA,38321,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:08:23",247,231,0,12,4,150,134,0,12,4,146,4,250,100,6,95,34,11
7,BOTOŞANI,"SCOALA CU CLASELE I-IV SELIŞTEA",321,MILEANCA,38321,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:48",315,306,0,5,4,175,166,0,5,4,165,10,346,171,3,121,32,9
7,BOTOŞANI,"SCOALA GIMNAZIALA NR.2 CODRENI",319,MILEANCA,38321,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:53",245,233,0,4,8,144,132,0,4,8,141,3,300,156,26,53,54,8
