precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL ULMA",504,ULMA,150702,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:08:37",528,526,0,0,2,297,295,0,0,2,277,20,600,303,76,95,14,92,0
35,SUCEAVA,"SALA DE ŞEDINŢE A CONSILIULUI LOCAL ULMA",506,ULMA,150702,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:16",355,353,0,1,1,214,212,0,1,1,206,8,404,190,48,70,10,76,2
35,SUCEAVA,"ŞCOALA GIMNAZIALĂ LUPCINA",505,ULMA,150702,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:49:09",760,757,0,3,0,465,462,0,3,0,434,31,800,335,128,50,89,146,21
