precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PASĂRE RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","DRAGOTĂ ION-PARTIDUL NAȚIONAL LIBERAL-voturi"
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII FLOREŞTI",173,FLOREŞTI,111685,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:06:14",1363,1316,0,18,29,808,761,0,18,29,797,11,1439,631,670,127
27,MEHEDINŢI,"ŞCOALA GENERALĂ I-VIII ZEGUJANI",174,FLOREŞTI,111685,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:05:16",876,828,0,28,20,593,545,0,28,20,584,9,907,314,560,24
