precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIRCEA VULCANESCU”",241,BÂRSANA,107314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:19:15",1447,1429,0,2,16,768,750,0,2,16,742,23,1600,835,308,9,372,40,9,4
26,MARAMUREŞ,"ŞCOALA GIMNAZIALĂ „MIRCEA VULCĂNESCU”",242,BÂRSANA,107314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:47:47",1173,1161,0,4,8,637,625,0,4,8,628,9,1280,643,224,8,349,25,15,7
26,MARAMUREŞ,"ȘCOALA „NĂNEȘTI”",244,BÂRSANA,107314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:47",543,531,1,5,6,316,304,1,5,6,309,7,584,268,67,36,186,15,3,2
26,MARAMUREŞ,"ȘCOALA „VALEA MUNTELUI”",243,BÂRSANA,107314,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:51",639,629,1,7,2,372,363,0,7,2,360,1,694,324,119,2,198,34,2,5
