precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ŞTEFAN LUCA-PARTIDUL SOCIAL DEMOCRAT-voturi","NICULESCU EMILIA-PARTIDUL NAȚIONAL LIBERAL-voturi","URSU LENUŢA-PARTIDUL PRO ROMÂNIA-voturi","SURUGIU ANDREI-LUCIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","CONSTANTIN CRISTIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
18,GALAŢI,"CAMINUL CULTURAL COSTACHE NEGRI",277,"COSTACHE NEGRI",76111,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:08:21",1123,1040,0,39,44,635,552,0,39,44,625,10,1141,506,254,174,104,37,56
18,GALAŢI,"CAMINUL CULTURAL COSTACHE NEGRI",276,"COSTACHE NEGRI",76111,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:00:28",1239,1187,0,28,24,685,633,0,28,24,676,9,1300,615,231,209,114,55,67
