precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PETRIŞOR CLAUDIU-PARTIDUL NAȚIONAL LIBERAL-voturi","BODEA GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIUBOTARU COSMIN-PARTIDUL SOCIAL DEMOCRAT-voturi","LUPICĂ MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PAŞCU IONUŢ-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
4,BACĂU,"ASOCIAȚIA ”SFÂNTUL VOIEVOD ŞTEFAN CEL MARE- HÂRJA”",475,OITUZ,23797,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:25:05",240,233,0,7,0,65,58,0,7,0,61,4,340,275,15,14,28,4,0
4,BACĂU,"CĂMINUL CULTURAL ”OLGA MARIA TUDORACHE” OITUZ",472,OITUZ,23797,2,PART,PRCNCT,P,P_SV,"2024-06-10 16:55:23",1011,1009,0,1,1,397,395,0,1,1,378,18,1100,704,217,43,104,10,4
4,BACĂU,"GRĂDINIŢA CĂLCÂI",473,OITUZ,23797,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:17:55",386,386,0,0,0,192,192,0,0,0,186,6,384,192,101,14,68,1,2
4,BACĂU,"GRĂDINIȚA CU PROGRAM NORMAL FERESTRĂU",474,OITUZ,23797,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:46:37",877,868,3,5,1,414,407,1,5,1,400,14,1000,579,182,53,145,16,4
4,BACĂU,"GRĂDINIŢA CU PROGRAM NORMAL MARGINEA",476,OITUZ,23797,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:53:19",611,611,0,0,0,311,311,0,0,0,293,18,700,389,154,21,98,20,0
4,BACĂU,"GRĂDINIȚA CU PROGRAM NORMAL POIANA-SĂRATĂ",477,OITUZ,23797,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:03",253,246,2,5,0,129,124,0,5,0,119,10,300,171,42,15,52,8,2
4,BACĂU,"ȘCOALĂ GIMNAZIALĂ COMUNA OITUZ ( GRĂDINIȚA NR.2 OITUZ)",469,OITUZ,23797,3,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:11",909,904,0,5,0,399,394,0,5,0,381,18,1000,601,217,36,108,15,5
4,BACĂU,"ȘCOALĂ GIMNAZIALĂ COMUNA OITUZ ( GRĂDINIȚA NR.2 OITUZ)",468,OITUZ,23797,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:41:33",548,543,3,1,1,251,249,0,1,1,247,4,600,349,134,28,75,7,3
4,BACĂU,"SCOALA GIMNAZIALA NR. 1 OITUZ",470,OITUZ,23797,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:14:25",1276,1273,1,0,2,599,597,0,0,2,573,26,1300,701,309,40,198,20,6
4,BACĂU,"ȘCOALA GIMNAZIALĂ NR.1 OITUZ",471,OITUZ,23797,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:40:06",1434,1430,0,1,3,625,621,0,1,3,597,28,1600,975,330,54,202,5,6
