precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VÎLCU GHEORGHE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MIHALACHE VALENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","UŢA CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","RĂDUŢĂ ALEXANDRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"ȘCOALA DĂRMĂNEȘTI",225,DĂRMĂNEŞTI,67256,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:46:47",1336,1330,0,0,6,760,754,0,0,6,747,13,1474,702,59,471,95,122
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ DĂRMĂNEȘTI",226,DĂRMĂNEŞTI,67256,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:05:12",1554,1536,6,2,10,888,876,0,2,10,879,9,1710,822,72,559,95,153
16,DÂMBOVIŢA,"ȘCOALA MĂRGINENII DE SUS",227,DĂRMĂNEŞTI,67256,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:09",872,867,0,4,1,534,529,0,4,1,521,13,960,426,20,404,60,37
