precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","NICOLAE CRISTIAN-IOAN-voturi","COSTEIU IULIAN-ALEXANDRU-voturi","GRIGORE ILIE-MARIUS-voturi"
34,SIBIU,"CĂMINUL CULTURAL",377,"TURNU ROŞU",145934,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:47:57",462,447,3,11,1,298,286,0,11,1,285,13,500,202,52,100,106,17,5,1,4
34,SIBIU,"CĂMINUL CULTURAL ”REGELE MIHAI I”",376,"TURNU ROŞU",145934,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:32:49",1584,1531,3,49,1,1063,1012,1,49,1,1026,37,1675,612,130,285,303,21,165,74,48
