precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FURDUI OVIDIU-ILIE-PARTIDUL SOCIAL DEMOCRAT-voturi","MARINESCU ANDREI-PARTIDUL NAȚIONAL LIBERAL-voturi","POLVREA GELU-IOAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BORBELY FLORIN-LUCIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL ZDRAPȚI",353,CRIŞCIOR,87362,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:26:19",716,706,2,4,4,429,421,0,4,4,416,13,800,371,250,133,27,6
22,HUNEDOARA,"LICEUL TEHNOLOGIC ”CRIŞAN” CRIŞCIOR",352,CRIŞCIOR,87362,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:34",1181,1180,0,1,0,654,653,0,1,0,615,39,1293,639,373,156,67,19
22,HUNEDOARA,"PRIMĂRIA COMUNEI CRIȘCIOR - CASA CĂSĂTORIILOR",351,CRIŞCIOR,87362,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:19:33",1288,1267,4,7,10,813,796,0,7,10,787,26,1400,587,531,216,36,4
