precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VOINIC LUIGI-CĂTĂLIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BUCUR RĂZVAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ SLOBOZIA MOARĂ",375,"SLOBOZIA MOARĂ",105142,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:58:59",838,809,0,16,13,678,652,0,16,10,660,18,894,216,320,340
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ SLOBOZIA MOARĂ",374,"SLOBOZIA MOARĂ",105142,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:46:15",871,828,2,22,19,715,672,2,22,19,702,13,930,215,358,344
