precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STĂNCIOIU STELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BRIHAC CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi"
27,MEHEDINŢI,"CĂMINUL CULTURAL CIOROBORENI",208,JIANA,112548,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:29:31",537,513,0,3,21,367,343,0,3,21,360,7,562,195,355,5
27,MEHEDINŢI,"CĂMINUL CULTURAL DĂNCEU",209,JIANA,112548,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:08:06",1096,1044,0,6,46,528,476,0,6,46,528,0,1145,617,514,14
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-IV JIANA MARE",210,JIANA,112548,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:08:45",586,534,0,4,48,346,294,0,4,48,338,8,639,293,312,26
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII JIANA",207,JIANA,112548,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:21:09",618,588,0,4,26,374,344,0,4,26,366,8,639,265,358,8
27,MEHEDINŢI,"ȘCOALA GENERALĂ I-VIII JIANA VECHE",211,JIANA,112548,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:52:36",1004,949,0,3,52,333,278,0,3,52,322,11,1050,717,313,9
