precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DÎRŢU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","NIŢAN ILIE-PARTIDUL SOCIAL DEMOCRAT-voturi","TERTEŞ VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SCALCO MARIA-PARTIDUL ECOLOGIST ROMÂN-voturi"
35,SUCEAVA,"CAMIN CULTURAL BRASCA",367,ILIŞEŞTI,147660,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:19:30",331,320,0,11,0,180,169,0,11,0,174,6,537,357,98,36,39,1
35,SUCEAVA,"PRIMARIA ILISESTI",366,ILIŞEŞTI,147660,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:28:16",2016,1984,2,6,24,1096,1066,0,6,24,1061,35,2000,904,389,496,160,16
