precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
28,MUREŞ,"CĂMIN CULTURAL TREI SATE",390,GHINDARI,117042,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:56:20",1032,1005,5,9,13,353,331,0,9,13,327,26,1116,763,12,183,7,125
28,MUREŞ,"CĂMINUL CULTURAL GHINDARI",387,GHINDARI,117042,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:28:19",1258,1237,5,3,13,472,456,0,3,13,402,70,1400,928,24,196,5,177
28,MUREŞ,"ȘCOALĂ PRIMARĂ ABUD",388,GHINDARI,117042,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:12:14",105,93,1,5,6,61,50,0,5,6,58,3,110,49,3,29,0,26
28,MUREŞ,"ȘCOALĂ PRIMARĂ SOLOCMA",389,GHINDARI,117042,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:15:39",248,242,1,5,0,105,100,0,5,0,95,10,270,165,3,46,1,45
