precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CÎMPEANU GRIGORE-ADI-PARTIDUL SOCIAL DEMOCRAT-voturi","BRÎNZAN DANIEL-GEORGE-PARTIDUL NAȚIONAL LIBERAL-voturi","SĂVULESCU PAUL-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","STĂNCIULESCU ION-ALIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
20,GORJ,"CĂMINUL CULTURAL BÂLTA",283,RUNCU,81576,2,PART,PRCNCT,P,P_SV,"2024-06-12 11:11:12",1418,1367,0,29,22,971,920,0,29,22,951,20,1500,529,862,20,7,62
20,GORJ,"CĂMINUL CULTURAL DOBRIŢA",284,RUNCU,81576,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:30:32",835,774,1,30,30,561,502,0,30,29,548,13,900,339,502,8,13,25
20,GORJ,"CĂMINUL CULTURAL SUSENI",285,RUNCU,81576,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:12:08",272,244,1,12,15,159,132,0,12,15,153,6,300,141,141,1,2,9
20,GORJ,"CĂMINUL CULTURAL VALEA MARE",286,RUNCU,81576,2,PART,PRCNCT,P,P_SV,"2024-06-10 05:52:27",691,655,1,25,10,471,436,0,25,10,446,25,764,293,414,8,1,23
20,GORJ,"ŞCOALA GENERALĂ RUNCU",282,RUNCU,81576,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:02:27",1290,1215,0,57,18,855,780,0,57,18,837,18,1300,445,722,22,13,80
