precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COSTIN DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞTIR IOAN-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","BUGNAR DANIEL-IOAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DRECŞAN DORIN-ALEXANDRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ PURCĂRETE",198,NEGRILEŞTI,179659,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:45:07",175,162,0,10,3,113,100,0,10,3,113,0,189,76,12,7,94,0
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ NEGRILEŞTI",196,NEGRILEŞTI,179659,1,PART,PRCNCT,P,P_SV,"2024-06-10 17:03:01",1086,993,1,54,38,718,625,1,54,38,700,18,1094,376,65,137,493,5
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GIMNAZIALĂ ”VICTOR MOTOGNA” BREAZA",197,NEGRILEŞTI,179659,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:19:23",838,801,2,6,29,505,471,0,6,28,495,10,847,339,312,82,100,1
