precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi"
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",381,MÂNDRA,41417,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:17",695,681,0,9,5,372,358,0,9,5,345,22,750,383,99,69,46,16,97,18
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",382,MÂNDRA,41417,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:23:17",469,453,0,11,5,284,268,0,11,5,274,10,500,216,70,30,56,10,15,93
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",383,MÂNDRA,41417,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:23:02",209,194,1,14,0,123,109,0,14,0,119,4,200,77,38,24,39,10,5,3
8,BRAŞOV,"AŞEZAMÂNT CULTURAL",384,MÂNDRA,41417,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:09:40",237,220,0,8,9,138,121,0,8,9,133,5,300,162,62,32,25,11,0,3
8,BRAŞOV,"AȘEZĂMÎNT CULTURAL MÂNDRA",380,MÂNDRA,41417,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:17:39",1012,990,1,13,8,598,577,0,13,8,573,25,1050,452,235,169,92,57,6,14
