precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi"
9,BRĂILA,"ȘCOALA CU CLASELE I-IV FĂUREI - SAT",244,SURDILA-GRECI,42771,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:30:17",293,282,0,11,0,188,177,0,11,0,174,14,353,165,122,21,2,28,1
9,BRĂILA,"ȘCOALA CU CLASELE I-IV HORIA",245,SURDILA-GRECI,42771,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:52",337,321,0,4,12,227,211,0,4,12,213,14,381,154,170,14,2,25,2
9,BRĂILA,"ȘCOALA CU CLASELE I-VIII SURDILA GRECI",243,SURDILA-GRECI,42771,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:45:43",550,544,1,5,0,328,323,0,5,0,313,15,539,211,211,29,6,59,8
