precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL MICEŞTII DE CÎMPIE",188,"MICEŞTII DE CÂMPIE",33845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:32:25",260,217,0,26,17,196,153,0,26,17,176,20,250,54,21,37,29,7,15,67
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL VISUIA",190,"MICEŞTII DE CÂMPIE",33845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:19:36",306,287,0,14,5,234,215,0,14,5,216,18,318,84,12,78,76,3,31,16
6,BISTRIŢA-NĂSĂUD,"ȘCOALA GENERALĂ FÎNTÎNIŢA",189,"MICEŞTII DE CÂMPIE",33845,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:06:25",262,249,0,1,12,182,169,0,1,12,163,19,300,118,7,13,36,91,6,10
