precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"KOZMA ISTVÁN-FLORIN-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi"
21,HARGHITA,"CĂMINUL CULTURAL",245,SÂNSIMION,85840,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:56",1205,1167,4,3,31,741,707,0,3,31,712,29,1300,559,712
21,HARGHITA,"CĂMINUL CULTURAL",244,SÂNSIMION,85840,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:33:47",741,721,0,5,15,426,406,0,5,15,410,16,800,374,410
21,HARGHITA,"ȘCOALA PRIMARĂ ”BENEDEK ELEK”",246,SÂNSIMION,85840,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:40:34",902,867,0,14,21,580,545,0,14,21,557,23,980,400,557
