precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
23,IALOMIŢA,"CENTRUL SOCIAL AL PAROHIEI FETEȘTI GARĂ II",55,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:25:39",1273,1268,0,5,0,429,424,0,5,0,407,22,1400,971,46,19,32,280,6,9,15
23,IALOMIŢA,"FOSTĂ ȘCOALA GIMNAZIALĂ”MIHAI VITEAZUL” - LOCAL BULIGA",34,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:15:40",864,858,1,5,0,369,364,0,5,0,359,10,950,581,31,10,21,273,2,4,18
23,IALOMIŢA,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”ALBĂ CA ZĂPADA”",47,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:38:15",1019,1010,0,8,1,413,404,0,8,1,401,12,1100,687,47,12,32,262,11,14,23
23,IALOMIŢA,"GRĂDINIŢA ȘCOLII GIMNAZIALE ”DIMITRIE CANTEMIR”",51,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:21:48",1109,1105,0,3,1,547,543,0,3,1,537,10,1200,653,59,20,43,371,19,8,17
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY”",43,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:47:58",939,912,0,8,19,453,426,0,8,19,440,13,1050,597,50,14,23,325,12,0,16
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (FOSTA ȘCOALĂ NR. 5)",57,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:35:05",1411,1403,0,7,1,498,490,0,7,1,475,23,1550,1052,40,10,49,331,9,9,27
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY” (FOSTA ȘCOALĂ NR. 5)",58,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:07:14",1069,1063,0,6,0,342,336,0,6,0,325,17,1226,884,43,13,23,223,4,1,18
23,IALOMIŢA,"LICEUL TEHNOLOGIC ”ANGHEL SALIGNY”( FOSTA ȘCOALĂ NR.5)",56,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:15:19",1259,1253,0,6,0,362,356,0,6,0,341,21,1376,1013,36,10,23,243,12,3,14
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ",46,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:02:49",1381,1373,0,8,0,635,627,0,8,0,617,18,1500,863,62,19,37,449,4,6,40
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ - CORP C 1",49,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:44:21",821,817,1,2,1,308,305,0,2,1,305,3,900,592,29,16,27,201,8,13,11
23,IALOMIŢA,"LICEUL TEHNOLOGIC DE INDUSTRIE ALIMENTARĂ - CORP C1",50,"MUNICIPIUL FETEŞTI",92701,3,PART,PRCNCT,CL,CL_SV,"2024-06-13 12:40:56",956,945,0,8,3,403,392,0,8,3,395,8,974,571,42,28,37,259,9,3,17
23,IALOMIŢA,"LICEUL TEORETIC ”CAROL I”",44,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:24:52",1334,1324,1,8,1,584,574,1,8,1,562,22,1500,916,80,31,37,373,18,5,18
23,IALOMIŢA,"PROTOPOPIATUL FETEȘTI",39,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:52:10",1104,1094,0,10,0,432,422,0,10,0,421,11,1200,768,76,20,42,257,8,2,16
23,IALOMIŢA,"SALA DE SPORT",48,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:31:54",1215,1205,0,10,0,569,559,0,10,0,558,11,1328,759,76,47,35,358,9,12,21
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”AUREL VLAICU”",45,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:54",1013,1013,0,0,0,502,502,0,0,0,490,12,1100,598,45,15,34,356,8,12,20
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”DIMITRIE CANTEMIR”",54,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:47:07",937,932,1,4,0,409,405,0,4,0,392,17,1000,591,52,23,30,247,10,14,16
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”DIMITRIE CANTEMIR”",52,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:27:38",1184,1176,0,8,0,538,530,0,8,0,516,22,1300,762,45,16,36,385,11,9,14
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”DIMITRIE CANTEMIR”",53,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:22:28",908,897,2,8,1,424,415,0,8,1,419,5,1000,576,61,26,35,262,12,9,14
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” - CORP A",35,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:36:26",1423,1418,0,5,0,521,516,0,5,0,495,26,1550,1029,54,13,54,332,11,1,30
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” - CORP B",37,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:20:07",962,953,0,8,1,418,409,0,8,1,411,7,1050,632,81,10,35,265,2,0,18
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” - CORP B",36,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:38:58",974,966,0,8,0,367,359,0,8,0,350,17,1050,683,50,9,19,253,1,2,16
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”MIHAI VITEAZUL” - CORP D",38,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:33:56",850,844,0,6,0,381,375,0,6,0,366,15,950,569,50,10,21,246,16,2,21
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”RADU VODĂ”",40,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:58:30",945,935,0,10,0,328,318,0,10,0,309,19,1050,722,53,7,24,175,7,2,41
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”RADU VODĂ” - GRĂDINIŢA ŞCOLII GIMNAZIALE NR.4",41,"MUNICIPIUL FETEŞTI",92701,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:29",809,793,0,16,0,320,304,0,16,0,308,12,900,580,31,14,33,195,9,8,18
23,IALOMIŢA,"ȘCOALA GIMNAZIALĂ ”RADU VODĂ” - GRĂDINIŢA ŞCOLII GIMNAZIALE NR.4",42,"MUNICIPIUL FETEŞTI",92701,2,PART,PRCNCT,CL,CL_SV,"2024-06-14 13:44:25",962,956,0,6,0,401,395,0,6,0,330,71,1050,649,80,15,45,162,5,3,20
