precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FECHET IOSIF-voturi"
4,BACĂU,"ŞCOALA CU CLASELE I-IV SATUL BOGDĂNEŞTI",615,TRAIAN,25861,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:09:52",430,428,0,2,0,171,169,0,2,0,153,18,509,338,40,7,19,83,4
4,BACĂU,"ŞCOALA CU CLASELE I-IV SATUL HERTIOANA DE JOS",616,TRAIAN,25861,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:07:46",161,150,0,10,1,89,78,0,10,1,88,1,200,111,15,16,12,41,4
4,BACĂU,"ŞCOALA CU CLASELE I-IV SATUL ZĂPODIA",617,TRAIAN,25861,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:20:35",548,542,0,6,0,183,177,0,6,0,174,9,600,417,40,6,14,110,4
4,BACĂU,"ŞCOALA GIMNAZIALĂ TRAIAN (ȘCOALA CU CLASELE I-IV, CORP B TRAIAN)",614,TRAIAN,25861,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:58:09",1559,1542,2,8,7,689,673,1,8,7,661,28,1600,911,161,74,39,326,61
