precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
2,ARAD,"CĂMINUL CULTURAL CĂRAND",228,CĂRAND,10346,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:13:56",491,464,0,14,13,348,321,0,14,13,325,23,520,169,128,71,48,70,8
2,ARAD,"CĂMINUL CULTURAL SELIŞTEA",229,CĂRAND,10346,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:49:44",437,417,0,11,9,292,272,0,11,9,268,24,444,152,91,103,13,36,25
