precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL ALIANȚA RENAȘTEREA NAȚIONALĂ-voturi"
5,BIHOR,"CĂMIN CULTURAL HIDIȘELU DE SUS",401,"HIDIŞELU DE SUS",29519,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:23:36",954,855,3,73,23,766,668,2,73,23,756,10,975,209,278,33,256,84,105
5,BIHOR,"CĂMIN CULTURAL MIERLĂU",403,"HIDIŞELU DE SUS",29519,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:31:21",620,556,0,49,15,470,406,0,49,15,461,9,615,145,48,4,352,54,3
5,BIHOR,"CĂMIN CULTURAL ȘUMUGIU",405,"HIDIŞELU DE SUS",29519,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:18:03",410,325,6,73,6,300,218,3,73,6,295,5,363,63,166,9,115,4,1
5,BIHOR,"ȘCOALA PRIMARĂ HIDIȘELU DE JOS",402,"HIDIŞELU DE SUS",29519,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:56:20",587,525,5,43,14,458,400,1,43,14,452,5,585,128,228,16,172,21,15
5,BIHOR,"ȘCOALA PRIMARĂ SÎNTELEC",404,"HIDIŞELU DE SUS",29519,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:14:52",334,301,1,13,19,253,221,0,13,19,241,12,355,102,86,4,127,14,10
