precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","FORȚA DREPTEI-voturi"
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ NR.1 OLTENI",221,OLTENI,153473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:10:30",1500,1444,0,51,5,1107,1051,0,51,5,1084,23,1585,476,241,366,19,458
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ NR.2 PERII-BROŞTENI",222,OLTENI,153473,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:39:49",865,836,0,26,3,624,595,0,26,3,611,6,910,257,278,138,27,168
