precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CAZACU MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","ROMĂNESCU FĂNICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi"
7,BOTOŞANI,"CĂMIN CULTURAL DERSCA",228,DERSCA,37011,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:37",1303,1250,0,2,51,704,651,0,2,51,689,15,1450,746,572,117
7,BOTOŞANI,"ȘCOALA GIMNAZIALĂ „NICOLAE IORGA” DERSCA",229,DERSCA,37011,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:07:45",1153,1110,0,8,35,643,600,0,8,35,625,18,1251,608,505,120
