precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CURELEA IONUŢ-MARIUS-UNIUNEA SALVAȚI ROMÂNIA-voturi","ŞOCHEREL EUGENIU-FLORENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","MANDACHE VIRGIL-SORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CONSTANTIN FLORIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","NEDELCU ADRIAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
30,OLT,"LICEUL TEHNOLOGIC IZVOARELE",236,IZVOARELE,127386,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:37:53",893,866,2,12,13,541,516,0,12,13,527,14,968,422,18,251,109,147,2
30,OLT,"SCOALA GENERALA CU CLASELE I-VIII ALIMANESTI",237,IZVOARELE,127386,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:06:48",1856,1824,0,12,20,1185,1153,0,12,20,1131,32,2022,859,71,277,169,607,7
