precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"AGA NEAGU-PARTIDUL NAȚIONAL LIBERAL-voturi","TUVENE VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DOBRE TEODOR-PARTIDUL SOCIAL DEMOCRAT-voturi","BAHNĂ IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
41,VRANCEA,"GRĂDINIȚA, SAT VETREȘTI-HERĂSTRĂU",232,NISTOREŞTI,177003,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:52:48",778,763,0,3,12,475,460,0,3,12,457,18,853,378,11,30,396,20
41,VRANCEA,"ȘCOALA GIMNAZIALĂ NISTOREȘTI",231,NISTOREŞTI,177003,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:09:08",834,795,0,3,36,460,421,0,3,36,454,6,913,453,22,44,381,7
