precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi"
28,MUREŞ,"ȘCOALA GIMNAZIALĂ ”DR. NYULAS FERENC ” EREMITU",350,EREMITU,116590,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:28:42",1475,1460,4,2,9,714,703,0,2,9,661,53,1610,881,629,32
28,MUREŞ,"ȘCOALA GIMNAZIALĂ MĂTRICI",354,EREMITU,116590,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:51:30",752,747,1,4,0,358,354,0,4,0,325,33,814,456,314,11
28,MUREŞ,"ȘCOALA PRIMARĂ CĂLUGĂRENI",351,EREMITU,116590,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:39:05",460,450,1,3,6,160,151,0,3,6,157,3,500,340,146,11
28,MUREŞ,"ȘCOALA PRIMARĂ CÎMPU CETĂŢII",352,EREMITU,116590,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:14:16",295,290,2,3,0,127,124,0,3,0,119,2,318,197,114,5
28,MUREŞ,"ȘCOALA PRIMARĂ DĂMIENI",353,EREMITU,116590,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:15:41",186,177,0,3,6,104,95,0,3,6,103,1,213,109,89,14
