precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MILEA IONUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi","FETIC CONSTANTIN-EMIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BĂCESCU ANTON-PARTIDUL NAȚIONAL LIBERAL-voturi","MUZGOCI CONSTANTIN-DORU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BORUGĂ ANTON-DUMITRU-PARTIDUL S.O.S. ROMÂNIA-voturi"
10,BUZĂU,"CĂMIN CULTURAL BĂDÂRLEGI",105,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:36:38",99,87,0,7,5,76,64,0,7,5,74,2,100,24,66,2,2,2,2
10,BUZĂU,"CĂMIN CULTURAL BÎSCA ROZILEI",109,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:11",536,521,0,7,8,334,319,0,7,8,324,10,590,256,248,8,25,30,13
10,BUZĂU,"CĂMIN CULTURAL CURMĂTURA",112,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,P,P_SV,"2024-06-10 01:13:46",123,103,1,7,12,92,73,0,7,12,89,3,130,38,76,3,1,7,2
10,BUZĂU,"CĂMIN CULTURAL MLĂJET",115,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:48:10",686,667,0,9,10,442,424,0,9,9,432,10,750,308,326,29,25,36,16
10,BUZĂU,"CĂMIN CULTURAL PĂLTINENI",116,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:01:13",630,610,0,6,14,407,387,0,6,14,396,11,695,288,330,10,16,37,3
10,BUZĂU,"CĂMIN CULTURAL VALEA NEHOIULUI",107,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:56:15",772,752,1,5,14,480,461,0,5,14,470,10,850,370,412,7,16,34,1
10,BUZĂU,"CĂMIN CULTURAL VINETIS",117,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:34:00",117,112,0,4,1,82,77,0,4,1,81,1,130,48,66,2,3,7,3
10,BUZĂU,"CASA DE CULTURĂ GEORGE BĂICULESCU NEHOIU",102,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:10",1088,1071,4,6,7,592,580,0,5,7,577,15,1200,608,440,10,32,89,6
10,BUZĂU,"CENTRU CULTURAL CHIRLEȘTI",111,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:38",649,645,0,4,0,394,390,0,4,0,385,9,719,325,279,14,10,78,4
10,BUZĂU,"CENTRU CULTURAL LUNCA PRIPORULUI",113,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:38:37",569,553,0,4,12,366,350,0,4,12,351,15,630,264,231,11,45,55,9
10,BUZĂU,"CLĂDIREA FOSTA SECŢIE CONFECŢIONAT ÎNCĂLŢĂMINTE DÂMBOVIŢA (LÂNGĂ BISERICA ORTODOXĂ) STR. VALEA NEHOIULUI",106,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:23:00",514,490,1,5,18,312,289,0,5,18,307,5,560,248,264,7,15,20,1
10,BUZĂU,"GRĂDINITA POD VINETIS - VECHE",110,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:03:38",514,504,0,1,9,340,330,0,1,9,331,9,570,230,239,23,17,24,28
10,BUZĂU,"GRUP SCOLAR TEHNIC NEHOIU STR. SCOLII",103,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:15:54",937,921,2,6,8,503,489,0,6,8,494,9,1000,497,351,21,45,71,6
10,BUZĂU,"SALA DE SPORT A ORASULUI",104,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:17:08",664,654,0,4,6,424,414,0,4,6,410,14,720,296,345,10,14,33,8
10,BUZĂU,"SCOALA CU CLASELE I-IV PRUND",114,"ORAŞ NEHOIU",47916,2,PART,PRCNCT,P,P_SV,"2024-06-10 04:42:32",389,372,1,4,12,264,248,0,4,12,263,1,410,146,165,9,48,39,2
10,BUZĂU,"ŞCOALA PRIMARĂ NEHOIAŞU",108,"ORAŞ NEHOIU",47916,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:15:46",333,320,0,6,7,209,196,0,6,7,205,4,350,141,178,2,8,16,1
