precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BELGIU IONELIA-PARTIDUL NAȚIONAL LIBERAL-voturi","BICHERU CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","VIENESCU CONSTANTIN-ALIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHERGHE GHEORGHE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
20,GORJ,"PRIMĂRIA STĂNEŞTI",305,STĂNEŞTI,82136,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:01:29",1189,1174,0,14,1,835,820,0,14,1,814,21,1300,465,153,554,20,87
20,GORJ,"ŞCOALA GENERALĂ CURPEN",306,STĂNEŞTI,82136,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:07",735,726,0,7,2,485,476,0,7,2,463,22,804,319,75,246,8,134
