precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LÁSZLÓ ANTAL-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","POTYÓ JUDIT-voturi"
21,HARGHITA,"PRIMARIA SÎNMARTIN",242,SÂNMARTIN,85788,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:12:29",916,896,3,1,16,588,570,1,1,16,573,15,1000,412,267,306
21,HARGHITA,"PRIMARIA SÎNMARTIN",243,SÂNMARTIN,85788,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:15:56",884,876,0,2,6,487,479,0,2,6,466,21,980,493,200,266
