precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STAICU VIORICA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","FIRESCU VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","VÎRDOL ELENA-PARTIDUL NAȚIONAL LIBERAL-voturi","BULMACI ALEXANDRU-UNIUNEA SALVAȚI ROMÂNIA-voturi","LĂZĂRESCU GHEORGHE-PARTIDUL MIȘCAREA POPULARĂ-voturi","VLAD MARIAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","RĂDUCANU VERONICA-FORȚA DREPTEI-voturi","STANCU MUGUREL-IONUŢ-PARTIDUL S.O.S. ROMÂNIA-voturi"
17,DOLJ,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 VALEA STANCIULUI",520,"VALEA STANCIULUI",74581,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:13:23",684,652,0,32,0,418,386,0,32,0,404,14,700,282,1,54,299,21,4,15,3,7
17,DOLJ,"GRADINITA TUGURESTI",519,"VALEA STANCIULUI",74581,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:26:41",513,485,0,27,1,342,314,0,27,1,317,25,600,258,6,51,180,39,0,10,2,29
17,DOLJ,"SALA DE SEDINȚĂ A CONSILIULUI LOCAL",518,"VALEA STANCIULUI",74581,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:32:12",1163,1120,0,43,0,783,740,0,43,0,743,40,1205,422,7,271,351,40,2,68,1,3
17,DOLJ,"SCOALA CU CLASELE I-IV",522,"VALEA STANCIULUI",74581,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:41:49",569,543,0,26,0,364,338,0,26,0,344,18,600,238,14,103,104,59,48,11,2,3
17,DOLJ,"SCOALA CU CLASELE I-VIII",521,"VALEA STANCIULUI",74581,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:05:19",1333,1306,0,24,3,729,702,0,24,3,678,49,1400,673,29,226,271,118,9,24,0,1
