precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BURZO NICOLAIE-PARTIDUL NAȚIONAL LIBERAL-voturi","GHERGHEL NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POP MIRCEA-PARTIDUL SOCIAL DEMOCRAT-voturi","SUCIU-POP NICOLAIE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
26,MARAMUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL GROŞII ŢIBLEŞULUI",327,"GROŞII ŢIBLEŞULUI",179622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:28:10",928,906,0,14,8,580,558,0,14,8,563,17,1079,498,461,38,39,25
26,MARAMUREŞ,"ŞCOALA CU CLASELE I-IV GREBLE",328,"GROŞII ŢIBLEŞULUI",179622,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:53:45",818,797,0,13,8,488,467,0,13,8,472,16,804,316,403,16,33,20
