precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ROBU NICOLAE-ALIANȚA ELECTORALĂ PSD PNL-voturi","SÎRBU ILIE-VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BAŞ ANA-MARCELA-PARTIDUL S.O.S. ROMÂNIA-voturi","CORAŞ DANIEL-MARIUS-PARTIDUL ROMÂNIA PUTERNICĂ-voturi","MOROIANU DUMITRU-PARTIDUL ROMÂNIA MARE-voturi","OLAJOS JANI-RAUL-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","FRITZ DOMINIC SAMUEL-ALIANȚA TIMIȘOARA UNITĂ USR - PMP - FORȚA DREPTEI - UDMR-voturi","JIANU FLORIN-ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi","VASILE MARIAN-CONSTANTIN-voturi","MOŞ CRISTIAN-ALIN-voturi"
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:26:18",717,632,77,8,0,285,272,5,8,0,281,4,1100,815,107,10,3,0,2,6,144,2,4,3
37,TIMIŞ,"CENTRUL DE SOCIALIZARE ȘI PETRECERE A TIMPULUI LIBER - CLUBUL PENSIONARILOR",61,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:02:40",1295,1282,4,9,0,447,438,0,9,0,442,5,1300,853,140,16,15,2,2,9,240,0,10,8
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”CONSTANTIN PUFAN”",156,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:14:47",1171,1131,26,13,1,523,508,1,13,1,518,5,1200,677,210,13,3,1,3,13,256,1,12,6
37,TIMIŞ,"CENTRUL ŞCOLAR PENTRU EDUCAŢIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",189,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:10",1010,987,2,20,1,407,386,0,20,1,385,8,1100,707,138,21,9,2,5,9,179,7,9,6
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",188,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:16:04",1122,1104,7,11,0,355,343,1,11,0,346,7,1200,847,101,15,12,3,1,8,192,2,9,3
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",187,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:47:42",1084,1072,2,8,2,330,318,2,8,2,321,9,1100,770,112,19,4,0,3,7,160,6,7,3
37,TIMIŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ ”PAUL POPESCU NEVEANU”",186,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:02:35",1125,1113,5,7,0,399,392,0,7,0,394,5,1200,801,112,26,5,0,3,9,221,5,10,3
37,TIMIŞ,"CLUBUL SPORTIV ŞCOLAR NR.1",40,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:58:20",858,842,4,12,0,374,362,0,12,0,363,11,900,526,125,16,4,2,1,9,194,2,7,3
37,TIMIŞ,"COLEGIUL ECONOMIC ”FRANCESCO SEVERIO NITTI” TIMIȘOARA",71,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:06:49",1212,1179,8,24,1,540,514,1,24,1,528,12,1200,660,174,22,11,4,1,12,285,3,14,2
37,TIMIŞ,"COLEGIUL ECONOMIC ”FRANCESCO SEVERIO NITTI” TIMIȘOARA",69,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:16:40",1067,1051,1,13,2,377,361,1,13,2,371,6,1200,823,165,15,8,1,3,7,160,3,9,0
37,TIMIŞ,"COLEGIUL ECONOMIC ”FRANCESCO SEVERIO NITTI” TIMIȘOARA",72,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:53:38",1210,1169,31,10,0,471,461,0,10,0,465,6,1200,729,143,18,7,1,5,6,271,2,9,3
37,TIMIŞ,"COLEGIUL ECONOMIC ”FRANCESCO SEVERIO NITTI” TIMIȘOARA",70,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:51:03",1101,1075,10,7,9,407,391,0,7,9,402,5,1200,793,185,16,15,1,3,3,162,0,8,9
37,TIMIŞ,"COLEGIUL NAȚIONAL PEDAGOGIC ”CARMEN SYLVA” TIMIȘOARA",3,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:37",628,586,26,9,7,249,233,0,9,7,245,4,700,451,75,7,1,2,0,7,145,0,7,1
37,TIMIŞ,"COLEGIUL TEHNIC ”EMANUIL UNGUREANU” TIMIȘOARA",4,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:28:54",1621,1386,218,17,0,569,546,6,17,0,560,9,1500,931,209,20,5,6,3,9,289,4,7,8
37,TIMIŞ,"COLEGIUL TEHNIC ”HENRI COANDĂ” (ŞCOALA PRIMARĂ NR.11)",57,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:01:47",1924,1903,12,9,0,899,889,1,9,0,888,11,2000,1101,325,41,16,4,2,16,456,5,14,9
37,TIMIŞ,"COLEGIUL TEHNIC ”HENRI COANDĂ” (ŞCOALA PRIMARĂ NR.11)",56,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:23:06",1610,1602,4,4,0,698,694,0,4,0,693,5,1700,1002,266,32,21,11,5,12,314,5,17,10
37,TIMIŞ,"COLEGIUL TEHNIC ”HENRI COANDĂ” (ŞCOALA PRIMARĂ NR.11)",55,"MUNICIPIUL TIMIŞOARA",155243,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:18",1731,1712,16,3,0,793,790,0,3,0,773,20,2000,1207,306,35,12,1,8,19,374,0,16,2
