precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
13,CLUJ,"CAMINUL CULTURAL BERCHIESU",475,FRATA,57742,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:07:59",466,447,1,12,6,259,240,1,12,6,249,10,500,241,10,44,3,191,1
13,CLUJ,"CAMINUL CULTURAL FRATA",474,FRATA,57742,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:59:30",1517,1476,3,26,12,939,900,2,26,11,892,47,1645,706,43,344,7,481,17
13,CLUJ,"CAMINUL CULTURAL POIANA FRATII",476,FRATA,57742,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:19:57",181,173,0,8,0,115,107,0,8,0,106,9,190,75,21,16,0,67,2
13,CLUJ,"CAMINUL CULTURAL SOPORU DE CIMPIE",477,FRATA,57742,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:29:19",1004,968,1,16,19,662,626,1,16,19,615,47,1083,421,47,47,9,501,11
