precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","OPRIŞAN ŞTEFAN-BOGDAN-voturi"
4,BACĂU,"CĂMINUL CULTURAL SATUL MĂNĂSTIREA CAŞIN",438,"MĂNĂSTIREA CAŞIN",23449,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:57:26",549,546,0,0,3,296,293,0,0,3,284,12,600,304,13,148,107,11,5
4,BACĂU,"CĂMINUL CULTURAL SATUL MĂNĂSTIREA CAŞIN",436,"MĂNĂSTIREA CAŞIN",23449,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:35:10",1486,1478,0,5,3,789,781,0,5,3,751,38,1500,711,20,284,424,11,12
4,BACĂU,"ŞCOALA GENERALA.NR.2 MĂNĂSTIREA CAŞIN",439,"MĂNĂSTIREA CAŞIN",23449,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:22:55",1634,1620,0,6,8,922,908,0,6,8,883,38,1800,879,26,393,427,25,12
4,BACĂU,"ŞCOALA LUPEŞTI",437,"MĂNĂSTIREA CAŞIN",23449,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:57:26",625,618,0,6,1,326,319,0,6,1,314,12,700,374,9,127,156,5,17
