precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUNĂ LIANA-CORINA-PARTIDUL NAȚIONAL LIBERAL-voturi","DUNĂ MARIAN-CLAUDIU-PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"LICEUL TEHNOLOGIC LIVIU REBREANU",403,MOZĂCENI,17575,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:11:54",1102,1086,1,2,13,766,751,0,2,13,749,17,1208,442,436,313
3,ARGEŞ,"ŞCOALA GENERALĂ MIŞEI",404,MOZĂCENI,17575,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:55:45",469,456,0,6,7,318,305,0,6,7,307,11,502,184,158,149
